,Unnamed: 0,text,embeddings,distances
126,126,"August 9 – 2022 Kenyan general election: William Ruto is elected as Kenya's 5th president, defeating longtime opposition leader Raila Odinga. His victory is certified by the nation's election supervisory agency on August 15 amid protests and violence by Odinga supporters.","[-0.0223873  -0.01099342 -0.00540628 ... -0.01461052  0.00823537
  0.01378376]",0.25923703749238236
192,192,"December 21–December 26 – A major winter storm hits the northern United States and southern Canada. Killing at least 91 people, the storm also severely disrupts North American air traffic, with Southwest Airlines alone canceling more than half of its schedule.","[-0.02485132 -0.0238666   0.00335584 ...  0.00493334 -0.00827946
 -0.00795553]",0.25988954740559667
163,163,October 28 – Sam Matekane is sworn in as Prime Minister of Lesotho after securing a victory in the 7 October elections.,"[-0.00078558 -0.01175425 -0.03038531 ... -0.00758996  0.01282397
  0.0001758 ]",0.2602529627621277
125,125,August 6 – Terrance Drew is sworn in as prime minister of Saint Kitts and Nevis.,"[-0.00312748 -0.0088359  -0.03414284 ... -0.00177501  0.01020631
  0.00553059]",0.26060042340281386
114,114,"July 19 – 2022 European heat waves: A series of severe heatwaves from July to August hit Europe, causing at least 53,000 deaths and additionally causing major wildfires, travel disruption, and record high temperatures in many countries.","[-0.00193969 -0.015145    0.00482675 ... -0.01649379  0.0050098
 -0.01546614]",0.2607893994209749
74,74,"April 20 – A European Southern Observatory team announce the discovery of micronovae, a new type of exploding star.","[-0.00431991 -0.00123519 -0.00540557 ...  0.02748619 -0.00143509
 -0.02261045]",0.2610993778181614
175,175,November 15 – The world population reaches 8 billion.,"[ 0.00067966 -0.01107037  0.00707063 ...  0.00069743  0.00934536
 -0.02301271]",0.2611048850331603
164,164,"October 29 – At least 158 people are killed and another 197 injured in a crowd crush during Halloween festivities in Seoul, South Korea.","[ 0.00079682 -0.00043769  0.02293298 ... -0.00727878 -0.01266573
  0.00197521]",0.26119960546330523
43,43,"March 4 – March 13 – The 2022 Winter Paralympics are held in Beijing, China, making it the first city to host both Summer Paralympics and Winter Paralympics.","[-0.00609926 -0.02275862 -0.00855048 ... -0.00317763 -0.01338893
 -0.00918409]",0.261294579756417
22,22,"February 4 – February 20 – The 2022 Winter Olympics are held in Beijing, China, making it the first city ever to host both the Summer Olympics and Winter Olympics.","[-0.00918049 -0.02713136 -0.01327544 ... -0.00234087  0.00236611
 -0.00923097]",0.26136517179444285
159,159,"October 16–October 23 – The 20th National Congress of the Chinese Communist Party is held. Xi Jinping is elected as General Secretary by the Central Committee, beginning a third term as the paramount leader of China.","[-0.00924073 -0.01631778  0.01080554 ...  0.00053851  0.00318918
 -0.01403819]",0.2613997938322662
5,5,January 2 – Abdalla Hamdok resigns as Prime Minister of Sudan amid deadly protests.,"[-0.01488294  0.00127301 -0.0210051  ... -0.0015476   0.00840334
  0.00727249]",0.2615814398449129
116,116,"July 21 – The European Central Bank raises its key interest rate for the first time in more than 11 years, from minus 0.5 per cent to zero, with plans for further increases later in the year.","[-0.01867773 -0.02240311  0.01741899 ...  0.00744439  0.01011446
 -0.01379533]",0.2616914342590281
137,137,September 6 – Liz Truss is appointed Prime Minister of the United Kingdom after winning the July–September 2022 Conservative Party leadership election.,"[-0.01059402  0.00142035 -0.01702544 ...  0.01161905  0.00356884
 -0.01415036]",0.2617374221697064
80,80,"May 6 – 2022 monkeypox outbreak: An outbreak of monkeypox begins when the first monkeypox virus case is reported in London, the United Kingdom.","[-0.00615644 -0.01309615  0.00115531 ...  0.00291687  0.01245701
 -0.00250017]",0.26199590417315743
9,9,January 7 – COVID-19 pandemic: The number of COVID-19 cases exceeds 300 million worldwide.,"[ 0.00634309 -0.00336085  0.00531901 ...  0.00026902  0.00334223
 -0.02723434]",0.2620326331892231
170,170,"November 1 – 2022 Danish general election: A bloc of left-leaning political parties wins a narrow one-seat majority of 90 seats. Incumbent Prime Minister Mette Frederiksen's second government takes office in December, in the form of a coalition with Venstre and the Moderates.","[-0.02347169 -0.04115974 -0.01799928 ... -0.00305553  0.00110307
  0.0034397 ]",0.2621062163749881
168,168,"October 30 – The collapse of a suspension bridge in Gujarat, India, leaves at least 135 dead.","[ 0.00848732  0.02359604  0.0152383  ... -0.01252365  0.01606759
 -0.01950139]",0.26220368222818125
187,187,December 7 – The Congress of Peru removes President Pedro Castillo from office and arrests him after he tries to dissolve Congress in a self-coup attempt. Vice President Dina Boluarte becomes the first female President of Peru.,"[-0.02636924  0.00800192 -0.01974112 ...  0.01688934 -0.00627979
  0.00278016]",0.2622241097235659
16,16,"January 23 – Tropical Storm Ana kills 115 people in Madagascar, Malawi and Mozambique, days after a series of floods killed 11 people in Madagascar.","[-0.01511044 -0.00723481  0.00060197 ... -0.00521624 -0.02049329
 -0.00758085]",0.2624089523129116
160,160,"October 20 – Amid a government crisis, Liz Truss announces her resignation as leader of the Conservative Party and her intention to resign as prime minister of the United Kingdom, after 45 days in office.","[-0.01309651 -0.00546744 -0.00789847 ...  0.01839596 -0.00227889
 -0.01971449]",0.2624365096724357
10,10,"January 9 – February 6 – The 2021 Africa Cup of Nations is held in Cameroon, with Senegal winning their first championship.","[-0.00282081 -0.02070924  0.01574818 ... -0.01405634  0.02236293
  0.00064359]",0.2627021441424128
112,112,"July 18 – Droupadi Murmu is elected as President of India, making her the first tribal and youngest person to be elected to the office.","[-0.0276258  -0.00422629 -0.02239964 ... -0.00731534  0.00066924
 -0.0032935 ]",0.26310695361341097
179,179,"November 19 – The 2022 Malaysian general election results in a hung parliament, which is the first in the country's history. Long-time opposition leader Anwar Ibrahim is appointed by Yang di-Pertuan Agong Abdullah as prime minister five days later to break the political deadlock and form a unity government.","[-0.02531058 -0.02213395 -0.01578069 ... -0.00153308  0.00742282
  0.00539579]",0.2634496805761962
121,121,"July 31 – Ayman al-Zawahiri, the Egyptian terrorist who became the 2nd Emir of al-Qaeda after Osama bin Laden's death in 2011, is killed in an airstrike in Kabul, Afghanistan conducted by the United States' Central Intelligence Agency.","[-0.03543685 -0.0122066  -0.0152875  ...  0.01090665 -0.00145758
 -0.00695477]",0.2636249591798493
123,123,"August 4 – The Prime Minister of Peru, Aníbal Torres, resigns following multiple criminal investigations against the President of Peru, Pedro Castillo.","[ 0.00326292  0.00176888 -0.00597936 ...  0.01039916 -0.01735963
  0.00352817]",0.2639397695767872
196,196,"December 7 – The world population was estimated to have reached 8 billion after 11 years on 15 November 2022. China was the most populous country throughout the year, followed by India. Africa was the fastest growing continent.","[-0.00404158 -0.01436307  0.00298232 ... -0.00767333 -0.01659508
 -0.01015125]",0.26404631559199754
120,120,"July 28–August 8 – The 2022 Commonwealth Games is held in Birmingham, England.","[-0.00665647 -0.00751496 -0.00689352 ... -0.00566024  0.01197396
 -0.00845673]",0.2642592715465574
14,14,"January 16 – World No. 1 tennis champion Novak Djokovic is deported from Australia following a high-profile legal case regarding his COVID-19 vaccination status, preventing his participation in the 2022 Australian Open.","[-1.40944067e-02 -2.56724097e-02  2.67526833e-03 ... -1.93559788e-02
  6.85656676e-03  5.66945600e-05]",0.26444585906224705
92,92,May 27 – Fiji announces that it will become the 14th member of the Indo-Pacific Economic Framework in order to counter Chinese influence in the Pacific. This comes amid a visit by Chinese foreign minister Wang Yi to Kiribati.,"[-0.00748139  0.00078149  0.00190632 ...  0.00053094 -0.01094742
 -0.02059998]",0.26478599439542616
98,98,"June 19 – The second round of the 2022 legislative election is held in France, resulting in a hung parliament, with President Macron's coalition losing its majority in the National Assembly. A newly-formed coalition of left-wing parties, led by far-left Jean-Luc Mélenchon, makes significant gains. Marine Le Pen's far-right National Rally also makes historic gains, increasing its number of MPs tenfold and becoming the largest opposition party in Parliament. Two weeks later, Macron's government is reshuffled, continuing as a minority administration.","[-0.02891987 -0.00253571 -0.00884969 ...  0.00235774 -0.01914929
 -0.01545267]",0.264860235776851
169,169,"November 1 – 2022 Israeli legislative election: A bloc of right-wing and far-right political parties led by former Prime Minister Benjamin Netanyahu wins a 64-seat majority (out of 120), allowing him to be sworn in as Prime Minister of Israel for a third time in December.","[-0.01901761 -0.01867987 -0.02249898 ... -0.00050459 -0.00335796
 -0.00531298]",0.2651074006437004
55,55,"March 21 – China Eastern Airlines Flight 5735 crashes in Guangxi, China, killing all 133 people on board.","[-0.01207811 -0.00543578 -0.00638782 ...  0.01534586  0.00587252
 -0.00961473]",0.26539175507646795
102,102,"June 23 – Dickon Mitchell's party wins a majority of seats in Grenada's general election, defeating Prime Minister Keith Mitchell's party. Dickon Mitchell is sworn in the following day.","[-0.01408451 -0.00556312 -0.02315566 ... -0.02049845 -0.00014153
  0.00198636]",0.2655204654865658
66,66,"April 7 – President of Yemen Abdrabbuh Mansur Hadi resigns from office, dismisses vice president Ali Mohsen al-Ahmar, and transfers both offices' powers to the newly formed eight-member Presidential Leadership Council, chaired by Rashad al-Alimi.","[-0.01914222 -0.01191173 -0.00118579 ... -0.01187261  0.02628795
  0.00977322]",0.2655991279879161
167,167,"October 30 – 2022 Brazilian general election: Luiz Inácio Lula da Silva defeats incumbent Jair Bolsonaro in a runoff election after neither candidate secured a majority in the first round of voting. Lula da Silva is the first president elected three times, and also the oldest one, at 77.","[-0.0222526  -0.010391   -0.01688618 ... -0.00039466 -0.0063178
  0.00784324]",0.26563509254216144
146,146,"September 22 – October 1 – The 2022 FIBA Women's Basketball World Cup is held in Sydney, Australia. In the final, the United States wins 83–61 against China.","[-0.01518459 -0.02635767  0.00028728 ... -0.0091609   0.00971377
 -0.01490173]",0.2656362427793397
172,172,"November 6–November 18 – The 2022 United Nations Climate Change Conference (COP27) on climate change mitigation takes place in Sharm el-Sheikh, Egypt.","[-0.01598659 -0.02645881  0.01984411 ...  0.0075443   0.00364251
 -0.02213333]",0.2658570650298119
64,64,April 6 – The first known dinosaur fossil linked to the very day of the Chicxulub impact is reported by palaeontologists.,"[-0.01958471 -0.01161093 -0.00122961 ...  0.02582892  0.00857149
 -0.02328546]",0.2661583777533971
108,108,"July 7 – July 17 – The 2022 World Games is held in Birmingham, Alabama, United States.","[-0.00407362 -0.01793283 -0.00237019 ... -0.01541817  0.03048073
 -0.01138582]",0.2662767524059909
62,62,"April 3 – The second round of voting of the 2022 Costa Rican general election is held, and Social Democratic Progress Party presidential candidate Rodrigo Chaves Robles is elected president.","[-0.02194669 -0.01458771 -0.00503406 ...  0.0045261  -0.01695821
  0.00615093]",0.26656451509743695
106,106,"July 1 – Yair Lapid succeeds Naftali Bennett as Prime Minister of Israel, while Bennett succeeds Lapid as Alternate Prime Minister of Israel; this arrangement had been created after the 2021 Israeli legislative election, in which no party won an outright majority.","[-0.00411242 -0.01458573 -0.02253685 ...  0.00206273 -0.00145092
 -0.02059469]",0.26683734231289147
118,118,"July 23 – The World Health Organization (WHO) declares the recent monkeypox outbreak a Public Health Emergency of International Concern, as the number of reported cases exceeds 17,000 in 75 countries.","[ 0.00281193  0.00441966  0.01439911 ... -0.00793617 -0.00081427
 -0.02395582]",0.2668770534310003
90,90,"May 21 – 2022 Australian federal election: The Labor party, led by Anthony Albanese, defeats the Liberal-National Coalition government led by Prime Minister Scott Morrison. Albanese is sworn in as Prime Minister two days later.","[-0.01584001 -0.01215124 -0.02381746 ... -0.00751156  0.00619688
 -0.00027183]",0.26712099476853557
70,70,April 13 – COVID-19 pandemic: The number of confirmed cases exceeds 500 million worldwide.,"[ 0.00017686 -0.00729469  0.00460006 ...  0.01097976 -0.00718149
 -0.01924288]",0.26733543738788346
142,142,"September 14–September 25 – The Atlantic hurricane Fiona hits Guadeloupe, Puerto Rico, the Dominican Republic, the Lucayan Archipelago, Bermuda, and Eastern Canada.","[-0.02721405 -0.01124059 -0.00563015 ... -0.0217581  -0.0017699
 -0.00396379]",0.2673762883198235
45,45,"March 5 – Researchers in the Antarctic find Endurance, one of the greatest ever undiscovered shipwrecks, which sank in 1915 during Ernest Shackleton's exploration.","[-0.00706975 -0.00793877  0.00057621 ...  0.00339766 -0.00062522
 -0.01956269]",0.2676801771196272
176,176,"November 15 – The 2022 G20 Bali summit in Bali, Indonesia takes place.","[-0.01121506 -0.02802151  0.03199875 ... -0.00553005 -0.00181268
 -0.00827732]",0.2685548498009275
86,86,"May 15 – Former President of Somalia Hassan Sheikh Mohamud is elected president again, beating President Mohamed Abdullahi Mohamed.","[-0.01142139 -0.00955879 -0.01936334 ... -0.02019116  0.03854559
  0.01260492]",0.26881701242264777
190,190,December 18 – Argentina wins the 2022 FIFA World Cup against runners-up France.,"[ 4.27422253e-03  7.37142764e-05  1.60283351e-03 ... -8.18208326e-03
  9.74394195e-03 -9.06263757e-03]",0.2691918176549378
189,189,"December 17 – Leo Varadkar succeeds Micheál Martin as Taoiseach (Prime Minister) of Ireland, as part of a rotation agreement made in 2020.","[ 0.00826493 -0.02384698 -0.025136   ... -0.0019051  -0.00815119
 -0.01496281]",0.26948937291847985
46,46,March 7 – COVID-19 pandemic: The global death toll from COVID-19 surpasses 6 million.,"[ 0.00575331 -0.00597626  0.00409668 ... -0.00014805  0.00618992
 -0.02573818]",0.2699420551244569
89,89,"May 20 – 2022 monkeypox outbreak: The World Health Organization (WHO) holds an emergency meeting to discuss the spread of monkeypox in nearly a dozen countries, as the number of reported cases reaches 100.","[-0.01188665 -0.01844371  0.00943173 ... -0.00643304 -0.00517378
 -0.00551085]",0.27002179046319974
32,32,"February 28 – The Intergovernmental Panel on Climate Change (IPCC) releases the second part of its Sixth Assessment Report on climate change. It concludes that many impacts are on the verge of becoming ""irreversible"".","[-0.01424806 -0.01221906  0.00570695 ...  0.01972312 -0.01803552
 -0.02687292]",0.2714914053587828
82,82,May 9 – 2022 Philippine presidential election: Bongbong Marcos and Sara Duterte are elected the 17th President and 15th Vice President of the Philippines in a landslide victory.,"[-0.03295157 -0.02457947 -0.00943299 ... -0.0111138  -0.01022547
  0.00750294]",0.27153428085111364
18,18,"January 24 – The federal government under Scott Morrison announces that, after more than three years of confidential negotiations, copyright ownership of the Australian Aboriginal flag has been transferred to the Commonwealth.","[-0.00895854 -0.00861272 -0.01632503 ...  0.0116337   0.02606001
 -0.02957035]",0.27159767448924477
73,73,"April 19 – The second round of voting of the 2022 East Timorese presidential election is held and the National Congress for Timorese Reconstruction party presidential candidate, former president and former prime minister José Ramos-Horta is elected.","[-0.03661065 -0.01253403 -0.01743864 ...  0.0112931   0.00125898
 -0.00144118]",0.2718406071731274
156,156,October 5 – OPEC+ imposes a production cut of up to 2 million barrels per day.,"[-0.02461588 -0.0209815   0.01130913 ...  0.01813327 -0.00166576
 -0.01016211]",0.2728508106712465
69,69,"April 11 – The National Assembly of Pakistan elects leader of the opposition Shehbaz Sharif as prime minister of Pakistan, after Imran Khan is removed from office following a motion of no confidence two days prior.","[-0.01706765 -0.00255541 -0.02349014 ...  0.02146731 -0.00303267
 -0.01280706]",0.2729766271692545
60,60,April 1 – The joint venture AMITA Health split up as AdventHealth and Ascension parted ways.,"[ 7.61969620e-03  9.03608634e-06  8.10772087e-03 ... -6.26298646e-03
  1.88442692e-02 -9.91666690e-03]",0.27474343605463114
191,191,"December 19 – At the UN Biodiversity Conference (COP15), nearly 200 countries agree a landmark deal to protect a third of the planet for nature by 2030.","[ 0.00176036 -0.00927175  0.02923628 ...  0.01060357 -0.02316982
 -0.02554033]",0.2750934422177661
12,12,January 13 – Bikaner-Guwahati Express derailment: The Bikaner-Guwahati Express train derailed in Maynaguri. 9 people were killed and 50 people were injured. This was the first major train accident of 2022.,"[-0.01927352 -0.0049487   0.00472148 ... -0.03886782  0.00296053
  0.01725528]",0.27513885933329385
161,161,"October 25 – Rishi Sunak becomes Prime Minister of the United Kingdom, following the resignation of Liz Truss the previous week resulting in a 50-day tenure, making him the first person of colour to become the prime minister.","[ 0.00753003 -0.02275516 -0.01950442 ...  0.00559355 -0.00089681
  0.00272376]",0.2755135533440821
149,149,September 26 – NASA's DART crashes into the asteroid Dimorphos in a first test of potential planetary defense.,"[-0.0047092  -0.01151509 -0.01182127 ... -0.00101423 -0.01389798
 -0.00498876]",0.2762370440082219
76,76,"April 24 – The 2022 Slovenian parliamentary election is held to elect all 90 members of the National Assembly of Slovenia, the lower house of the Slovenian Parliament; the Freedom Movement party becomes the largest party, winning 41 of 90 seats.","[-0.01002263 -0.00118884 -0.01231659 ...  0.00149455 -0.01158986
 -0.0135236 ]",0.27665232247266447
162,162,October 28 – Elon Musk completes his $44 billion acquisition of Twitter.,"[-0.01023484 -0.01616891  0.00474536 ...  0.01369691  0.01363385
 -0.00178621]",0.2767308847091181
148,148,"September 25 – The 2022 Italian general election is held to elect all 400 seats of the Chamber of Deputies and 200 seats of the Senate of the Republic (reduced from 630 and 215 respectively according to the outcome of the 2020 constitutional referendum). Observers commented that the results shifted the geopolitics of the European Union, following far-right gains in France, Spain, and Sweden. It was also noted that the election outcome would mark Italy's most right-wing government since 1945.","[-0.01927556 -0.01555231 -0.00331925 ...  0.00431793 -0.01182906
 -0.02602394]",0.2775601048564479
138,138,September 8 – Queen Elizabeth II of the United Kingdom and 14 other Commonwealth realms dies at Balmoral Castle in Scotland at the age of 96. Her son Charles III succeeds her as King.,"[-0.00260202 -0.00092258 -0.02052295 ...  0.02921652  0.01038895
 -0.00382415]",0.27813406109644545
197,197,December 7 –  Media related to 2022 at Wikimedia Commons,"[-0.01053168 -0.01810936 -0.00279989 ...  0.01668372 -0.00110856
 -0.01965058]",0.2783584366061903
186,186,"December 5 – The National Ignition Facility achieves fusion ignition, a major milestone in the development of nuclear fusion power.","[-0.02921981 -0.00903558 -0.01874527 ...  0.01216628 -0.00098361
 -0.00747996]",0.27918549113697744
132,132,"August 28 – 2022 Pakistan floods: Pakistan declares a ""climate catastrophe"" and appeals for international assistance, as the death toll from recent flooding in the country exceeds 1,000, the world's deadliest flood since 2017. Several nations, alongside the UN, pledge millions in funding for aid.","[-0.01190025 -0.02287622 -0.00476588 ... -0.00149716 -0.00767034
 -0.01081549]",0.27940804127845664
77,77,"April 25 – Elon Musk reaches an agreement to acquire the social media network Twitter (which he later rebrands as X) for $44 billion USD, which later closes in October.","[-0.01153571 -0.01457479  0.01079994 ...  0.01221391  0.01543214
 -0.00359251]",0.28027470784455333
1,1," – The year began with another wave in the COVID-19 pandemic, with Omicron spreading rapidly and becoming the dominant variant of the SARS-CoV-2 virus worldwide. Tracking a decrease in cases and deaths, 2022 saw the removal of most COVID-19 restrictions and the reopening of international borders in the vast majority of countries, while the global rollout of COVID-19 vaccines continued. The global economic recovery from the pandemic continued, though many countries experienced an ongoing inflation surge; in response, many central banks raised their interest rates to landmark levels. The world population reached eight billion people in 2022. The year also witnessed numerous natural disasters, including two devastating Atlantic hurricanes (Fiona and Ian), and the most powerful volcano eruption of the century so far. The later part of the year also saw the first public release of ChatGPT by OpenAI starting an arms race in artificial intelligence which increased in intensity into 2023, as well as the collapse of the cryptocurrency exchange FTX.","[-0.00472267 -0.01999484 -0.00651529 ... -0.0135361  -0.01487308
 -0.00886664]",0.28040051586260084
111,111,"July 11 – The first operational image from the James Webb Space Telescope, showing the galaxy cluster SMACS 0723, is revealed to the public.","[ 0.00699665 -0.00097643 -0.00583917 ...  0.01196286 -0.01365706
 -0.00894951]",0.280691852402421
75,75,"April 22 – The Large Hadron Collider recommences full operations, three years after being shut down for upgrades.","[-0.01247605  0.00194582 -0.02694989 ...  0.02880018  0.01270399
  0.00131733]",0.2810776866599394
85,85,May 13 – Mohamed bin Zayed Al Nahyan is elected as the 3rd president of the United Arab Emirates by the Federal Supreme Council following the death of Khalifa bin Zayed Al Nahyan a day earlier.,"[-0.01949142 -0.02951014 -0.01262181 ... -0.00881241  0.00969492
 -0.00666645]",0.2811586981242703
113,113,July 18 – IFLA-UNESCO Public Library Manifesto issued.,"[-0.01823561  0.00830407 -0.01361334 ... -0.00452555  0.02852066
 -0.03607103]",0.28229330883801573
178,178,"November 16 – NASA launches Artemis 1, the first uncrewed mission of its Space Launch System, the most powerful rocket ever to reach orbit. The onboard Orion capsule orbits the Moon before returning to Earth, as a demonstration of planned human missions.","[ 0.01189862 -0.01329121 -0.02979512 ... -0.0084657   0.0173589
  0.00015606]",0.2826478420330618
25,25,"February 9 – The biggest breakthrough in fusion energy since 1997 is reported at the Joint European Torus in Oxford, the UK, with 59 megajoules produced over five seconds (11 megawatts of power), more than double the previous record.","[-0.01084926 -0.01678863 -0.01156198 ...  0.00122747  0.0075958
 -0.01284225]",0.2830258742219385
144,144,"September 19 – The state funeral of Elizabeth II is held in Westminster Abbey, London. Her coffin is then taken by procession to Windsor Castle for burial with her husband, parents and sister in the King George VI Memorial Chapel. The funeral is speculated to be the most watched television event in world history.","[-0.00511324 -0.01080606 -0.00594719 ...  0.01338199 -0.00804336
 -0.01892026]",0.28402392147722955
11,11,"January 10 – The first successful heart transplant from a pig to a human patient occurs in Baltimore, Maryland, United States.","[-0.00895865 -0.01288935  0.00981062 ... -0.01119186  0.00711916
 -0.00524094]",0.2868424457643298
194,194,"December 29 – Brazilian football legend Pelé dies at the age of 82, with his funeral being held at the Vila Belmiro stadium in Santos.","[-0.00761676  0.00407267  0.00833003 ...  0.00778234  0.01699123
 -0.00578581]",0.2878155360183505
84,84,"May 12 – The Event Horizon Telescope collaboration reveals its first image of Sagittarius A*, the supermassive black hole at the centre of the Milky Way.","[ 0.00071866 -0.00930329 -0.01612041 ...  0.01958517 -0.00282339
 -0.03456828]",0.28867577996370286
180,180,"November 19–November 26 – The 2022 Central American and Caribbean Beach Games are held in Santa Marta, Colombia.","[-0.02168465 -0.02511741  0.01298618 ... -0.01258461 -0.00037566
 -0.01192397]",0.289314062256366
4,4," January 1 – The Regional Comprehensive Economic Partnership, the largest free trade area in the world, comes into effect for Australia, Brunei, Cambodia, China, Indonesia, Japan, South Korea, Laos, Malaysia, Myanmar, New Zealand, the Philippines, Singapore, Thailand, and Vietnam.","[-0.00056793 -0.02413112 -0.00528155 ... -0.00852922 -0.01503767
 -0.0180557 ]",0.2896189252189425
184,184,"November 30 – OpenAI releases ChatGPT, an artificial intelligence chatbot able to answer questions and write essays.","[-1.12703629e-02 -1.44411689e-02  1.81974483e-05 ... -1.02546625e-02
 -3.46705248e-03 -3.81538570e-02]",0.2903778912403854
0,0," – 2022 (MMXXII) was a common year starting on Saturday of the Gregorian calendar, the 2022nd year of the Common Era (CE) and Anno Domini (AD) designations, the 22nd  year of the 3rd millennium and the 21st century, and the  3rd   year of the 2020s decade.  ","[ 4.63678371e-05 -1.79402083e-02 -1.71618368e-02 ... -7.92181399e-03
 -1.27866361e-02 -1.30188921e-02]",0.29090909661562714
59,59,"March 31 – Expo 2020 closes in Dubai after a 6-month run; originally scheduled for 10 April 2021, it was delayed due to the COVID-19 pandemic.","[-0.00319747 -0.04659819 -0.00171698 ... -0.00157687  0.03213668
 -0.0174808 ]",0.29211124337819083
195,195,"December 31 – Former Pope Benedict XVI dies at the age of 95, with his funeral being held in St. Peter's Square, presided over by Pope Francis and Cardinal Giovanni Battista Re.","[ 0.02353226  0.00770594 -0.01282165 ...  0.00869023  0.00426741
 -0.00915   ]",0.2931790249503293
173,173,"November 11 – The cryptocurrency exchange FTX, once valued at $18 billion, files for Chapter 11 bankruptcy, in a collapse that affects the cryptocurrency environment.","[ 2.42813956e-03 -2.54112240e-02 -7.90280974e-05 ...  6.16780529e-03
  5.63262310e-03 -4.67259958e-02]",0.2940368511389043
182,182,"November 20 – 2022 Nepalese general election: The Nepali Congress, led by Prime Minister Sher Bahadur Deuba, emerged as the largest party with 89 seats, but the governing bloc falls short of the majority by two seats, leading into likely coalition government.","[-0.00424838 -0.00068485 -0.0016169  ... -0.00911517  0.0024656
 -0.00331753]",0.2956707604856531
63,63,"April 4 – The Intergovernmental Panel on Climate Change (IPCC) releases the third and final part of its Sixth Assessment Report on climate change, warning that greenhouse gas emissions must peak by 2025 at the latest and decline 43% by 2030, in order to limit global warming to 1.5 °C (2.7 °F).","[-0.01046813 -0.01640951  0.00268937 ...  0.01750262 -0.01567648
 -0.02659472]",0.2985585542284671
